红红火火恍恍惚惚
亏她想的出来
嗯
第几集
海陆演的不错
2018.2.09
紫薇耳朵好大
为什么不是去赛雅，而是跟她走呢
尔泰走了
好好看
尔泰真好看
讨厌尔康
有啊，
恍恍惚惚哈哈
班杰明不错
怎么没有小燕子出宫被虐待那一段
除了五阿哥都好丑
我们只是静静地看电视   不发弹幕
尔泰要去蒙古了
除了五阿哥都丑
喜欢小燕子和斑鸠
有人吗？在的扣1
讨厌这个讨厌那个没人喜欢你吧不想看滚唧唧歪歪的烦人
好多键盘侠
紫薇不是昏迷了吗？好假啊
可紫薇没有特赦令杨
怎么没有小燕子出宫被虐待那一段
尔泰要去蒙古了
好多键盘侠
尔康演的太难看
心疼老板一分钟
哈哈哈哈哈哈哈
赛雅来了  身份曝光了
哈哈
那你们古代，就知道，女人心海底针，这回事了？？？
卡   机    了
冒泡
尔泰要走了，不开心，谁说讨厌尔泰的，打死她，别看呀
尔泰要走了呜呜
塞牙
情商低
咋没人理我呢
尔泰其实喜欢小燕子的，因为赛娅和小燕子很像，当替身
尔泰要走了呜呜
尔泰其实喜欢小燕子的，因为赛娅和小燕子很像，当替身
人呢
在
在
有人吗
有人吗
有
就那么想当格格
都好帅
好看
有人吗？
晴儿要是和尔泰一起就好
好少人看
说实话还是老版的这段好看 还是林心如的紫薇好看
那萧剑怎么办？
你们说尔康对晴儿还是尔康对紫薇呢？
喜欢尔泰
还是觉得尔泰和小燕子配一些
zjl
有喜欢尔泰的吗
赛亚要来啦
好玩了
讨厌紫薇
最喜欢看微服私访
尔泰的春天来了
不不不，晴儿是箫剑的
讨厌赛亚，抢走我的尔泰
ha
斑鸠是我的
你的尔泰？搞笑
牛逼克拉斯。
赛亚公主就要来了
舍不得尔泰
她自己的事就是正事
你的尔泰？搞笑
尔泰在不断的背锅之中找到了真爱（笑cry)
快点出来
有
有
有人
you
yjhgt
hf
什么叫那么想？紫薇是为了她娘还有尔康
。。。。。。。。。
我在看
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
怀恋
