还珠格格真的厉害
第一
真好看
海陆，加油
兰州人民发来贺电！
8888888888888
开发没见你                   cvknxklzlzlzlzlzlzlzc
紫薇都帮皇后求这么多情了，还要害她们，真坏真坏
皇后坏死了
爱死他z
hao好看
我居然可以写字哈哈哈
99999
有情人终成眷属9999
,,,,
有
祝她们九九有情人终成眷属。
fhchcv hfghdydgffkdfmk,,,,x,kdxkdlmfmxgfhx
新版的和老版的剧情不太一样啊
傻皇后
1，5倍听歌好搞笑
活泼的小燕子
喜欢小燕子
有人吗
老版塞牙跟谁在一起了？
有人吗
有
有哦
又开始调查了
弹幕！！
哦哦LOLX5
有人吗
有
皇帝，好近女色
张睿最帅
没有
有
有有有
還沒睡？
有人吗
有有有一直在
哈哈哈哈哈哈哈哈哈哈哈哈哈哈。
前方高能   哈哈哈哈哈哈哈
老版赛亚跟谁在一起了？
尔泰
火箭黄蜂哈哈哈哈哈嘎嘎嘎 的首发申购的防火规范的d
有人吗
跟老版尔泰在一起了
2018.2.14
尔泰要走了
尓傣要结婚了
啊啊啊这些人真有爱啊 终于都熬到头了 皇帝真的很爱...
尔泰
皇后打入冷宫
咋这么糊啊
笑死
嗯嗯
有
有
哈哈
。。。。。。
有哦
haha
哈哈哈哈哈哈
斑鸠好搞笑
哈哈哈哈哈哈哈     班鸠笑死我了
哈哈
哈！
班老外
红红火火恍恍惚惚
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
一言不合就弹幕
有人打1
搞笑
古代也有眼镜吗？
皇后好坏
坏话都然有人啦
哈哈哈哈哈哈
班老外好搞笑
的
厉害厉害了
…
儿泰真名叫什么
厉害了
vip啊
路宏
那个时候就有眼镜？
emmm
----
皇后真坏。
有人扣1
emmmm
喜欢尔泰
尔泰帅
哈哈哈 好可爱
hhhhh
为丽颖而来，如颖随形。
戴眼镜很好看啊
来了吧
尔泰要杀青了
路宏
班杰明好逗啊 笑死我了
哈哈哈哈哈哈
尔泰要杀青了
路宏
…
觉得班杰明戴眼镜也挺好看的
；；；
哈哈
呵呵
那个时候有眼镜？
斑鸠版柯南，哈哈哈
乾隆到底有几个女人
你好
这个刘雪华怎么拍神马都坏
三
皇帝老儿
尔泰快走了，真舍不得
尔泰又得背锅
尔泰好伟大啊
在看的扣1
看见了
郎老头搞笑
1
还是老剧好看啊
火车票改签'
嘿嘿  不都说帝王无情  这个皇上镇好
啊哈哈哈哈 知道就好办
皇后跟丫头争宠
班杰明太可爱了
可口可乐了了LOL来了啦啦啦困了
紫薇真是作
尔泰要领盒饭了 哈哈哈
哈哈哈
我的尔泰要了   舍不得、
紫薇真是作
尔泰要领盒饭了 哈哈哈
路宏
班杰明好逗啊 笑死我了
好看
好喜欢张睿李
好诗
唉唉唉唉唉唉唉唉唉唉唉唉
山无棱
上邪
天地合
22号就能看到颖宝真人辣!我要去偶遇
颖宝快来！！！！！！！！！！！！
上邪 我欲与君相知 
班杰明笑死我了
好看
。
赵丽颖人气好高
上邪
f
1
这还有第二部？确定不是跟以前一样？
呵呵呵呵呵呵
后宫佳丽三千
最严重的穿帮就是冬天了依然花草树木茂盛??
我讨厌
我的尔泰啊
不要走尔泰
为啥这 版香妃辣么丑
哈哈
尔泰呀
哈哈哈哈
11111111111
尔泰要领盒饭了 哈哈哈
我的尔泰
太感动了
晟
还好吧
皇后真讨厌
你是那种你就是你
好喜欢尔康
噜啦啦啦啦啦啦啦啦啦啦啦啦
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊吖吖吖吖啊
快快快快快快快快
吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊吊
古代也有眼镜吗
超爱张睿！
清朝有再说是英国人更是有啊
古代有眼睛是外国的
赵丽颖当红小花旦
那个时候就有眼镜了吗？？？
皇后和容嬷嬷好狠毒，杀了她们。
看来无数遍了
可恶的皇后应该换掉的
单名带的眼镜好搞笑笑。
前面好像都没演赛亚啊
山无棱  天地合  才敢与君绝m
山无棱，天地合。才敢与君绝。
说紫薇够的人，我觉得你也是够了
皇帝咋偏心呢！！。。。
还没冬天
不是乃敢与君绝吗
已经开春了吧
人呢
怎么声音这么小
有人吗？
有人木
我觉得小燕子好可爱
你们是男的还是女的
夺刀横爱的塞娅公主
尔泰才是最好的
有
是
虫儿飞，虫儿飞
晟宝最美
戴眼镜了
女的
公的
我是你爸爸
张伟别装了
弹幕修好了，哈哈
母的
末代皇帝反正是有的
溥仪有近视镜啊
甘肃永靖县人民发来贺词，皇后要死了。
解决吧
我好喜欢看这个
班杰明的黑眼圈
是他们在国外带来的眼镜
好感人
2017.12.17
你。
晴儿美美滴······
班杰明的眼镜是他们西洋的
尔泰为自己谋取机会
哈哈哈哈
