看的我鼻涕一把泪一把的，有时候看弹幕还突然笑一下...
好看
张益达哈哈哈
当年追的剧，现在来回味
2017.9.27看几遍了，还是哭了
喜欢赵丽颖
为你加油！！！！！！　☆  *　.  　☆　　
大爱
haodou1
搞笑
为哈要回去痴吧
这不是皇上呀   而是那个可恨的皇后呀~~
哈哈哈
这个皇上也是糟心，这么一大堆不省心的儿女，哈哈哈
金锁憋着啊
这下皇上也乌龙了，
哭了老铁
如果有人愿意为我劫狱，我此身无憾
有人笑场了吧
皇帝也心疼啊
你们班的本来都是罪大恶极的错，为什么不是呢？
看这部电视哭了好几次
哭死我了
老惨了吆
最新版
金锁真的笑了
金锁你这么开心吗？
哭了T﹏T
金锁在笑
金锁在笑
好卡
没有老版本经典，可另有一番滋味
有人吗
每人发弹幕
弹幕好少
紫薇太心慈手软了
haha
厉害了我的哥
有人呗
孙耀琦不配做演员
你爸你不回去？
三个女子好可怜啊！唉！
刚才五阿哥为小燕子弄头。
fafafafafafafa
不回
可怜
哭了
现在有人看？
紫薇这样好像三毛
看到五阿哥帮燕子弄头发  好温暖
五啊哥弄小燕子头发，好有爱
导演过分了，让小燕子还叫黄阿玛
金锁竟然笑了
金锁要笑场
来吐糟
卡
这些大臣和皇上 都是真心喜欢两位格格的吧
金锁多余的喝喝。
紫薇的脸 浮肿
如果我是皇帝我就哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
笑场
呵呵哒了，老巫婆
看得我眼泪止不住啊
尔康再给小燕子披披风
撩头发  哇哇哇
金锁忍不住了
看到五阿哥帮燕子弄头发  好温暖
刚才五阿哥为小燕子弄头。
尔康再给小燕子披披风
五啊哥弄小燕子头发，好有爱
看到五阿哥帮燕子弄头发  好温暖
刚才五阿哥为小燕子弄头。
皇帝最帅
是回忆童年
你们谁没有结婚
谁要找知己阿？
我
我
我
我没有
大家好
我，我还是个孩子啊
就喜欢看永琪吃醋，英雄救美
心疼
皇上仁慈
我00
我
有人吗
不错 
有没有人 在 .
感觉皇上要哭了
弹幕好少啊
好看吧
承认了我的弟
 JKL
看的我都哭了
孙耀琦感觉好做作
我  都还没有男朋友
